iShares Core S&P 500 ETF
Fund Holdings as of,"May 08, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"995,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","38,206,872,878.20","6.77","38,206,872,878.20","87,196,460.00","438.17","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","34,797,866,565.99","6.17","34,797,866,565.99","176,200,651.00","197.49","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","33,715,031,087.76","5.98","33,715,031,087.76","287,254,248.00","117.37","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","21,250,178,809.44","3.77","21,250,178,809.44","110,631,918.00","192.08","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","15,360,631,970.46","2.72","15,360,631,970.46","25,686,246.00","598.01","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","11,423,205,819.58","2.02","11,423,205,819.58","54,980,054.00","207.77","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","11,034,621,967.75","1.96","11,034,621,967.75","21,499,507.00","513.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","10,555,516,543.32","1.87","10,555,516,543.32","68,417,919.00","154.28","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","9,348,760,788.00","1.66","9,348,760,788.00","32,823,400.00","284.82","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","8,636,347,623.75","1.53","8,636,347,623.75","55,450,065.00","155.75","United States","NASDAQ","USD","1.00","USD","-"
